recorded_at,zone_id,location,hour,day_of_week,is_weekend,weather_code,weather_label,temperature_c,humidity_pct,area_m2,exits_count,event_flag,event_intensity,prev_density,current_density,predicted_density_30m,duration_min,movement_speed_mps,occupancy_ratio,camera_count,noise_db,risk_label,anomaly_label,anomaly_reason,sensor_value,rolling_mean_1h,z_score
2025-06-01T00:00:00,1,zone1,0,6,1,0,clear,31.31,58.77,520,3,0,0.04,103.56,72.33,90.42,59.63,1.279,0.1391,6,61.94,Aman,0,normal,66.37,108.34,2.332
2025-06-01T00:15:00,3,zone3,0,6,1,1,cloudy,27.55,79.17,430,2,1,0.893,92.54,140.43,194.23,154.16,0.956,0.3266,2,84.95,Waspada,1,density_spike,152.8,80.63,4.01
2025-06-01T00:30:00,1,zone1,0,6,1,3,storm,26.09,98,520,3,0,0.099,47.09,4,4,34.72,1.369,0.0077,4,65.18,Aman,1,density_spike,-11.23,51.11,3.464
2025-06-01T00:45:00,2,zone2,0,6,1,0,clear,29.15,68.49,680,4,0,0.048,132.58,121.19,95.9,69.86,1.368,0.1782,3,75.37,Aman,0,normal,108.08,121.59,0.75
2025-06-01T01:00:00,1,zone1,1,6,1,0,clear,29.0,60.93,520,3,1,0.623,181.81,267.2,303.8,115.9,0.797,0.5138,7,85.08,Waspada,1,density_spike,253.45,168.01,4.238
2025-06-01T01:15:00,5,zone5,1,6,1,0,clear,29.63,57.23,360,2,0,0.18,64.61,81.92,92.07,83.73,1.237,0.2275,8,64.64,Aman,0,normal,98.86,63.43,1.968
2025-06-01T01:30:00,5,zone5,1,6,1,2,rain,28.45,85.45,360,2,1,0.846,55.87,93.82,130.14,122.02,0.869,0.2606,7,82.44,Waspada,1,density_spike,112.01,55.32,3.149
2025-06-01T01:45:00,3,zone3,1,6,1,2,rain,27.19,82.42,430,2,0,0.036,138.4,146.44,186.76,93.3,0.8,0.3406,6,80.0,Aman,0,normal,129.62,148.95,1.073
2025-06-01T02:00:00,1,zone1,2,6,1,0,clear,26.1,65.47,520,3,0,0.014,172.55,128.02,113.01,51.65,0.847,0.2462,3,79.38,Aman,0,normal,133.65,167.38,1.679
2025-06-01T02:15:00,2,zone2,2,6,1,1,cloudy,27.72,70.95,680,4,0,0.121,149.1,164.5,151.01,67.86,1.129,0.2419,2,69.99,Aman,0,normal,171.67,152.69,1.036
2025-06-01T02:30:00,1,zone1,2,6,1,2,rain,28.12,78.03,520,3,1,0.581,148.11,180.13,229.99,103.98,0.702,0.3464,8,82.41,Waspada,0,normal,168.21,152.75,0.844
2025-06-01T02:45:00,1,zone1,2,6,1,1,cloudy,30.17,77.93,520,3,0,0.018,157.57,130.78,161.9,54.34,1.195,0.2515,5,55.53,Aman,0,normal,139.78,138.6,0.066
2025-06-01T03:00:00,5,zone5,3,6,1,0,clear,31.56,67.27,360,2,0,0.097,119.65,143.1,144.55,81.43,0.588,0.3975,2,71.24,Waspada,1,density_spike,172.93,115.05,3.216
2025-06-01T03:15:00,5,zone5,3,6,1,1,cloudy,26.75,69.23,360,2,0,0.034,45.93,66.72,78.23,63.13,1.166,0.1853,2,69.08,Aman,0,normal,57.84,50.98,0.381
2025-06-01T03:30:00,2,zone2,3,6,1,0,clear,32.73,48.5,680,4,1,0.924,196.85,253.15,288.58,151.47,1.192,0.3723,6,86.8,Waspada,1,density_spike,250.19,179.75,3.266
2025-06-01T03:45:00,3,zone3,3,6,1,0,clear,30.47,85.53,430,2,0,0.168,77.28,72.27,59.98,80.08,1.252,0.1681,6,78.75,Aman,0,normal,45.68,73.89,1.567
2025-06-01T04:00:00,5,zone5,4,6,1,1,cloudy,28.72,84.14,360,2,0,0.178,139.61,144.7,139.24,96.28,1.032,0.4019,2,66.43,Waspada,0,normal,142.11,125.7,0.911
2025-06-01T04:15:00,3,zone3,4,6,1,0,clear,29.78,62.27,430,2,0,0.163,127.75,116.66,91.45,82.04,0.497,0.2713,3,86.96,Aman,1,density_spike,22.23,124.07,6.03
2025-06-01T04:30:00,1,zone1,4,6,1,2,rain,26.42,77.27,520,3,0,0.027,99.13,119.01,127.64,19.54,1.193,0.2289,3,62.48,Aman,1,density_spike,155.21,99.68,3.085
2025-06-01T04:45:00,2,zone2,4,6,1,2,rain,25.51,69.58,680,4,0,0.146,46.03,67.3,77.95,38.81,1.535,0.099,8,68.44,Aman,0,normal,78.48,47.98,1.695
2025-06-01T05:00:00,1,zone1,5,6,1,2,rain,29.41,93.49,520,3,0,0.147,119.88,142.32,145.36,71.68,1.119,0.2737,8,74.89,Aman,0,normal,113.71,114.04,0.018
2025-06-01T05:15:00,3,zone3,5,6,1,2,rain,27.98,72.66,430,2,1,0.984,115.51,180.14,223.2,166.43,1.049,0.4189,7,93.64,Bahaya,0,normal,179.21,126.35,2.936
2025-06-01T05:30:00,1,zone1,5,6,1,1,cloudy,30.71,65.56,520,3,1,0.959,211.17,240.22,273.79,140.75,1.175,0.462,4,84.45,Bahaya,1,density_spike,258.5,188.45,3.098
2025-06-01T05:45:00,3,zone3,5,6,1,0,clear,27.22,75.43,430,2,0,0.023,86.79,113.59,98.75,73.2,0.904,0.2642,4,66.31,Aman,0,normal,125.9,92.37,1.863
2025-06-01T06:00:00,3,zone3,6,6,1,0,clear,30.67,83.42,430,2,0,0.038,163.76,147.75,148.2,64.66,0.733,0.3436,4,77.15,Aman,0,normal,134.99,150.83,0.876
2025-06-01T06:15:00,1,zone1,6,6,1,0,clear,29.9,69.67,520,3,0,0.153,232.2,221.11,235.84,86.61,1.22,0.4252,5,67.63,Waspada,0,normal,184.01,251.64,2.239
2025-06-01T06:30:00,4,zone4,6,6,1,0,clear,31.65,50.83,810,5,0,0.125,43.26,37.83,51.31,60.73,0.995,0.0467,6,59.02,Aman,0,normal,14.81,47.24,1.801
2025-06-01T06:45:00,5,zone5,6,6,1,0,clear,29.66,62.42,360,2,1,0.924,89.96,155.02,159.45,137.67,1.228,0.4306,5,93.85,Bahaya,1,density_spike,162.32,83.72,4.366
2025-06-01T07:00:00,5,zone5,7,6,1,0,clear,32.73,75.76,360,2,1,0.661,120.71,185.14,202.65,138.98,1.171,0.5143,5,80.24,Bahaya,1,density_spike,205.26,125.64,4.423
2025-06-01T07:15:00,1,zone1,7,6,1,2,rain,25.49,81.47,520,3,0,0.07,110.9,109.28,86.35,53.68,0.785,0.2102,3,62.13,Aman,0,normal,110.98,114.66,0.205
2025-06-01T07:30:00,2,zone2,7,6,1,2,rain,29.49,88.42,680,4,0,0.177,164.47,145.55,144.89,64.55,0.759,0.214,3,72.28,Aman,0,normal,130.62,150.49,1.1
2025-06-01T07:45:00,4,zone4,7,6,1,0,clear,31.58,67.5,810,5,1,0.461,181.84,230.82,246.93,89.02,0.76,0.285,7,77.76,Waspada,1,density_spike,267.14,185.76,3.651
2025-06-01T08:00:00,4,zone4,8,6,1,1,cloudy,32.13,75.42,810,5,0,0.039,114.06,96.94,67.97,33.83,1.401,0.1197,4,67.15,Aman,0,normal,75.84,107.35,1.75
2025-06-01T08:15:00,2,zone2,8,6,1,0,clear,31.45,59.77,680,4,0,0.113,83.46,96.31,58.15,52.05,1.087,0.1416,6,62.99,Aman,0,normal,104.26,82.75,1.195
2025-06-01T08:30:00,4,zone4,8,6,1,2,rain,26.99,93.09,810,5,1,0.978,163.09,188.71,203.56,163.43,1.197,0.233,8,83.3,Waspada,0,normal,200.37,159.97,2.105
2025-06-01T08:45:00,2,zone2,8,6,1,2,rain,26.14,89.24,680,4,1,0.935,127.15,150.49,202.24,140.4,1.109,0.2213,8,84.39,Waspada,0,normal,162.11,118.6,2.418
2025-06-01T09:00:00,3,zone3,9,6,1,0,clear,28.46,71.72,430,2,0,0.034,95.94,111.03,109.91,74.0,1.005,0.2582,2,70.19,Aman,0,normal,102.36,99.77,0.144
2025-06-01T09:15:00,5,zone5,9,6,1,0,clear,33.17,73.77,360,2,0,0.099,141.22,133.39,138.65,65.74,1.252,0.3705,4,70.92,Aman,0,normal,121.27,129.39,0.451
2025-06-01T09:30:00,5,zone5,9,6,1,3,storm,25.19,76.32,360,2,0,0.051,75.42,64.14,65.9,52.72,0.973,0.1782,2,64.21,Aman,0,normal,79.09,67.34,0.653
2025-06-01T09:45:00,5,zone5,9,6,1,0,clear,34.02,72.06,360,2,0,0.061,74.0,77.71,119.72,57.42,1.128,0.2159,5,71.15,Aman,0,normal,81.28,74.46,0.379
2025-06-01T10:00:00,2,zone2,10,6,1,0,clear,25.39,64.44,680,4,0,0.109,166.99,196.26,172.78,76.12,1.376,0.2886,4,68.98,Aman,0,normal,222.42,185.3,1.669
2025-06-01T10:15:00,3,zone3,10,6,1,1,cloudy,28.74,80.34,430,2,1,0.546,174.69,223.61,245.08,102.3,0.768,0.52,3,83.72,Waspada,0,normal,217.97,160.84,2.96
2025-06-01T10:30:00,5,zone5,10,6,1,1,cloudy,30.98,82.11,360,2,0,0.077,54.76,19.65,26.85,41.36,1.286,0.0546,7,54.27,Aman,0,normal,3.79,53.34,2.753
2025-06-01T10:45:00,3,zone3,10,6,1,0,clear,32.61,58.02,430,2,0,0.014,133.51,120.04,123.68,52.65,1.114,0.2792,7,90.17,Aman,0,normal,97.27,138.16,2.272
2025-06-01T11:00:00,1,zone1,11,6,1,1,cloudy,28.68,68.04,520,3,1,0.735,214.69,317.44,309.72,156.04,1.031,0.6105,5,95.24,Bahaya,0,normal,303.39,232.51,2.541
2025-06-01T11:15:00,4,zone4,11,6,1,2,rain,25.75,72.63,810,5,0,0.082,139.12,105.66,155.81,39.69,1.265,0.1305,2,64.06,Aman,0,normal,112.01,132.73,1.151
2025-06-01T11:30:00,4,zone4,11,6,1,1,cloudy,28.08,73.51,810,5,0,0.099,69.47,77.96,121.11,89.52,1.067,0.0962,3,68.26,Aman,0,normal,83.73,67.11,0.923
2025-06-01T11:45:00,1,zone1,11,6,1,1,cloudy,26.96,71.51,520,3,1,0.963,303.17,356.42,374.22,148.86,0.803,0.6854,5,99.72,Bahaya,0,normal,345.75,330.04,0.397
2025-06-01T12:00:00,3,zone3,12,6,1,1,cloudy,27.5,79.92,430,2,0,0.061,121.05,117.61,110.26,22.94,0.808,0.2735,8,74.62,Aman,0,normal,95.07,114.97,1.106
2025-06-01T12:15:00,3,zone3,12,6,1,2,rain,22.14,97.22,430,2,0,0.043,89.19,85.64,67.6,43.14,1.282,0.1992,8,69.63,Aman,0,normal,59.01,80.23,1.179
2025-06-01T12:30:00,2,zone2,12,6,1,0,clear,32.88,79.44,680,4,0,0.157,122.37,141.42,112.0,76.33,0.868,0.208,3,74.69,Aman,0,normal,127.75,113.67,0.782
2025-06-01T12:45:00,3,zone3,12,6,1,2,rain,27.75,93.09,430,2,0,0.068,80.38,61.2,27.73,54.65,1.106,0.1423,2,66.2,Aman,0,normal,74.48,71.01,0.193
2025-06-01T13:00:00,1,zone1,13,6,1,0,clear,30.4,69.11,520,3,0,0.163,192.19,189.23,182.3,81.66,0.773,0.3639,8,75.32,Waspada,0,normal,167.92,195.74,1.185
2025-06-01T13:15:00,5,zone5,13,6,1,0,clear,36.17,75.63,360,2,0,0.046,125.06,160.75,159.09,82.26,0.75,0.4465,3,75.41,Waspada,0,normal,159.51,138.83,1.149
2025-06-01T13:30:00,4,zone4,13,6,1,2,rain,33.76,80.19,810,5,0,0.069,94.56,104.76,45.64,30.62,1.004,0.1293,7,67.54,Aman,0,normal,113.82,102.59,0.624
2025-06-01T13:45:00,4,zone4,13,6,1,2,rain,26.76,69.46,810,5,0,0.14,8.02,4,4,56.77,1.373,0.0049,8,71.59,Aman,0,normal,-18.72,8.78,1.528
2025-06-01T14:00:00,3,zone3,14,6,1,1,cloudy,24.42,56.63,430,2,1,0.651,160.52,188.48,204.62,126.89,0.997,0.4383,4,81.02,Waspada,0,normal,186.93,172.71,0.686
2025-06-01T14:15:00,3,zone3,14,6,1,1,cloudy,33.45,71.05,430,2,0,0.021,173.8,196.0,231.65,80.21,0.678,0.4558,5,62.88,Waspada,1,density_spike,221.1,150.1,3.942
2025-06-01T14:30:00,4,zone4,14,6,1,0,clear,27.08,71.88,810,5,0,0.047,88.39,78.42,67.08,33.08,0.855,0.0968,4,64.04,Aman,0,normal,97.05,77.47,1.088
2025-06-01T14:45:00,4,zone4,14,6,1,0,clear,29.1,55.42,810,5,1,0.47,74.39,117.11,148.52,78.3,1.089,0.1446,4,81.97,Aman,0,normal,110.51,78.33,1.788
2025-06-01T15:00:00,4,zone4,15,6,1,1,cloudy,31.47,62.42,810,5,0,0.111,100.08,125.93,131.65,81.65,1.136,0.1555,7,77.88,Aman,0,normal,140.1,102.84,2.07
2025-06-01T15:15:00,4,zone4,15,6,1,0,clear,34.71,72.69,810,5,0,0.115,123.67,147.12,153.47,96.85,1.078,0.1816,3,69.82,Aman,0,normal,159.89,134.32,1.421
2025-06-01T15:30:00,2,zone2,15,6,1,1,cloudy,28.25,75.47,680,4,0,0.05,178.6,171.35,170.29,53.5,1.119,0.252,4,63.84,Aman,0,normal,174.2,168.63,0.275
2025-06-01T15:45:00,5,zone5,15,6,1,0,clear,32.0,51.28,360,2,1,0.697,124.36,156.73,176.01,126.05,1.161,0.4354,7,77.98,Waspada,0,normal,153.9,138.12,0.877
2025-06-01T16:00:00,4,zone4,16,6,1,2,rain,29.79,74.23,810,5,0,0.019,26.97,23.69,18.58,51.61,1.403,0.0292,6,63.18,Aman,0,normal,3.18,30.17,1.499
2025-06-01T16:15:00,1,zone1,16,6,1,1,cloudy,27.8,81.46,520,3,1,0.81,246.78,260.29,281.09,109.78,1.068,0.5005,5,85.51,Waspada,0,normal,264.56,239.61,0.868
2025-06-01T16:30:00,3,zone3,16,6,1,2,rain,28.02,69.97,430,2,0,0.085,131.77,129.51,128.31,43.09,1.062,0.3012,6,66.11,Aman,0,normal,161.2,127.4,1.878
2025-06-01T16:45:00,1,zone1,16,6,1,3,storm,24.49,86.63,520,3,0,0.063,71.62,55.13,86.27,51.5,1.262,0.106,8,65.89,Aman,0,normal,68.52,69.58,0.059
2025-06-01T17:00:00,5,zone5,17,6,1,1,cloudy,31.24,75.86,360,2,0,0.005,107.0,85.89,96.57,73.42,1.008,0.2386,2,70.0,Aman,0,normal,114.18,110.31,0.215
2025-06-01T17:15:00,1,zone1,17,6,1,1,cloudy,30.24,70.89,520,3,0,0.076,211.14,187.75,208.89,69.99,0.773,0.3611,2,70.06,Aman,0,normal,181.68,186.06,0.196
2025-06-01T17:30:00,4,zone4,17,6,1,0,clear,31.3,71.25,810,5,0,0.049,145.75,161.69,151.36,87.15,0.819,0.1996,2,84.49,Aman,0,normal,174.63,127.42,2.623
2025-06-01T17:45:00,3,zone3,17,6,1,0,clear,31.32,64.1,430,2,1,0.724,243.33,309.29,355.53,144.02,0.926,0.7193,7,89.7,Bahaya,1,density_spike,305.03,210.45,3.745
2025-06-01T18:00:00,3,zone3,18,6,1,1,cloudy,26.14,87.13,430,2,0,0.128,145.36,147.77,164.31,95.43,0.736,0.3436,4,77.03,Waspada,0,normal,128.13,134.2,0.337
2025-06-01T18:15:00,3,zone3,18,6,1,1,cloudy,28.57,59.36,430,2,0,0.14,118.29,104.26,111.55,73.64,1.356,0.2425,4,71.74,Aman,0,normal,91.46,106.23,0.821
2025-06-01T18:30:00,5,zone5,18,6,1,0,clear,26.5,59.61,360,2,0,0.014,81.84,68.35,55.97,37.69,0.949,0.1899,7,60.28,Aman,0,normal,60.77,88.77,1.556
2025-06-01T18:45:00,4,zone4,18,6,1,1,cloudy,33.45,81.41,810,5,0,0.106,112.53,128.85,168.38,79.17,1.159,0.1591,4,73.33,Aman,0,normal,108.14,111.61,0.193
2025-06-01T19:00:00,5,zone5,19,6,1,2,rain,26.71,86.91,360,2,0,0.007,73.26,50.69,40.62,31.28,1.332,0.1408,8,62.58,Aman,0,normal,39.0,76.61,2.089
2025-06-01T19:15:00,4,zone4,19,6,1,3,storm,26.45,76.8,810,5,0,0.11,93.53,89.73,101.69,62.57,0.89,0.1108,2,70.2,Aman,0,normal,93.14,96.93,0.211
